Zeitstempel,Sind Sie eine Frau oder ein Mann?,Wie groß sind Sie (in cm; z.B. 170; bitte nur Zahlen eingeben)?,Was ist Ihre Schuhgröße (z.B. 42; bitte nur Zahlen eingeben)
04.10.2016 17:58:51,Ich bin eine Frau.,160,40
04.10.2016 17:58:59,Ich bin eine Frau.,171,39
04.10.2016 18:00:15,Ich bin eine Frau.,174,39
04.10.2016 18:01:17,Ich bin eine Frau.,176,40
04.10.2016 18:01:22,Ich bin ein Mann.,195,46
04.10.2016 18:01:53,Ich bin eine Frau.,157,37
04.10.2016 18:01:57,Ich bin eine Frau.,160,38
04.10.2016 18:02:00,Ich bin eine Frau.,178,39
04.10.2016 18:02:11,Ich bin eine Frau.,168,38
04.10.2016 18:02:16,Ich bin ein Mann.,171,41
04.10.2016 18:02:22,Ich bin eine Frau.,165,39
04.10.2016 18:02:25,Ich bin ein Mann.,175,44
04.10.2016 18:02:27,Ich bin eine Frau.,163,38
04.10.2016 18:02:43,Ich bin eine Frau.,158,37
04.10.2016 18:03:01,Ich bin eine Frau.,159,38
04.10.2016 18:03:11,Ich bin ein Mann.,183,44
04.10.2016 18:03:14,Ich bin eine Frau.,155,37
04.10.2016 18:03:19,Ich bin eine Frau.,172,39
04.10.2016 18:03:44,Ich bin eine Frau.,164,39
04.10.2016 18:03:49,Ich bin eine Frau.,158,35
04.10.2016 18:04:45,Ich bin eine Frau.,174,37
04.10.2016 18:07:51,Ich bin eine Frau.,164,37
04.10.2016 18:07:53,Ich bin eine Frau.,168,38
04.10.2016 18:10:17,Ich bin eine Frau.,168,38
04.10.2016 18:13:00,Ich bin eine Frau.,163,37
04.10.2016 18:51:58,Ich bin eine Frau.,160,37
04.10.2016 19:04:42,Ich bin ein Mann.,183,46
04.10.2016 19:16:09,Ich bin eine Frau.,161,38
04.10.2016 19:39:43,Ich bin eine Frau.,162,36
04.10.2016 19:59:42,Ich bin eine Frau.,165,37
04.10.2016 20:56:23,Ich bin eine Frau.,164,36
11.10.2016 12:30:32,Ich bin eine Frau.,161,37
11.10.2016 12:31:09,Ich bin eine Frau.,163,39
11.10.2016 12:31:18,Ich bin eine Frau.,169,40
11.10.2016 12:31:25,Ich bin eine Frau.,171,39
11.10.2016 12:31:50,Ich bin eine Frau.,163,38
11.10.2016 12:31:56,Ich bin eine Frau.,159,36
11.10.2016 12:31:59,Ich bin eine Frau.,180,42
11.10.2016 12:31:59,Ich bin eine Frau.,168,38
11.10.2016 12:32:04,Ich bin eine Frau.,170,38
11.10.2016 12:32:05,Ich bin eine Frau.,168,38
11.10.2016 12:32:06,Ich bin ein Mann.,180,42
11.10.2016 12:32:10,Ich bin ein Mann.,183,44
11.10.2016 12:32:10,Ich bin eine Frau.,170,40
11.10.2016 12:32:09,Ich bin eine Frau.,172,39
11.10.2016 12:32:12,Ich bin eine Frau.,163,38
11.10.2016 12:32:17,Ich bin eine Frau.,168,38
11.10.2016 12:32:22,Ich bin eine Frau.,1.84,41
11.10.2016 12:32:24,Ich bin eine Frau.,169,38
11.10.2016 12:32:27,Ich bin ein Mann.,206,50
11.10.2016 12:32:32,Ich bin eine Frau.,165,38
11.10.2016 12:32:32,Ich bin eine Frau.,171,40
11.10.2016 12:32:33,Ich bin eine Frau.,165,37
11.10.2016 12:32:33,Ich bin eine Frau.,168,38
11.10.2016 12:32:42,Ich bin ein Mann.,180,44
11.10.2016 12:32:42,Ich bin eine Frau.,160,40
11.10.2016 12:32:49,Ich bin ein Mann.,183,44
11.10.2016 12:32:50,Ich bin eine Frau.,160,36.5
11.10.2016 12:33:01,Ich bin eine Frau.,171,40
11.10.2016 12:33:13,Ich bin eine Frau.,167,39
11.10.2016 12:33:15,Ich bin eine Frau.,172,37
11.10.2016 12:33:17,Ich bin eine Frau.,1.63,38
11.10.2016 12:33:30,Ich bin eine Frau.,173,38
11.10.2016 12:33:34,Ich bin ein Mann.,187,44
11.10.2016 12:33:49,Ich bin eine Frau.,176,40
11.10.2016 12:33:50,Ich bin ein Mann.,180,42
11.10.2016 12:33:53,Ich bin eine Frau.,171.50,39
11.10.2016 12:34:07,Ich bin eine Frau.,364,88
11.10.2016 12:34:18,Ich bin eine Frau.,168,36
11.10.2016 12:34:38,Ich bin eine Frau.,175,39
11.10.2016 12:34:55,Ich bin ein Mann.,185,42
11.10.2016 12:34:58,Ich bin ein Mann.,205,48
11.10.2016 12:35:03,Ich bin eine Frau.,165,36
11.10.2016 12:35:25,Ich bin ein Mann.,175,42
11.10.2016 12:35:44,Ich bin ein Mann.,175,42
11.10.2016 12:36:06,Ich bin ein Mann.,172,41
11.10.2016 12:36:33,Ich bin eine Frau.,156,36
11.10.2016 12:36:34,Ich bin eine Frau.,1.68,38
11.10.2016 12:36:42,Ich bin eine Frau.,163,37
11.10.2016 12:37:05,Ich bin eine Frau.,163,38
11.10.2016 12:37:26,Ich bin eine Frau.,1.73,38
11.10.2016 12:37:44,Ich bin eine Frau.,169,39
11.10.2016 12:38:01,Ich bin eine Frau.,178,39
11.10.2016 12:41:08,Ich bin eine Frau.,170,38
11.10.2016 12:41:32,Ich bin eine Frau.,168,38
11.10.2016 12:44:06,,,
11.10.2016 12:47:47,Ich bin eine Frau.,170,39
11.10.2016 13:04:54,Ich bin eine Frau.,173,40
15.10.2016 15:10:34,Ich bin eine Frau.,171,40
16.10.2016 14:31:49,Ich bin eine Frau.,163,38
16.10.2016 15:46:30,Ich bin eine Frau.,166,38
16.10.2016 17:18:17,Ich bin eine Frau.,159,38
16.10.2016 20:55:46,Ich bin eine Frau.,178,41
16.10.2016 22:25:07,Ich bin ein Mann.,178,44
17.10.2016 08:31:01,Ich bin eine Frau.,169,40
17.10.2016 08:36:38,Ich bin eine Frau.,158,37
17.10.2016 12:37:09,Ich bin eine Frau.,170,39
17.10.2016 13:12:48,Ich bin eine Frau.,183,39
19.10.2016 17:07:53,Ich bin eine Frau.,173,40
29.10.2016 20:28:33,Ich bin eine Frau.,160,37
30.10.2016 11:57:57,Ich bin eine Frau.,168,39
