teilnehmer;alter;geschlecht;taetigkeit;schulab;ausb;Mittelwert_p;Mittelwert_v;Mittelwert_ae;Mittelwert_m;Mittelwert_Aggressivitaet_Gesamt;Mittelwert_Selbstwert;Mittelwert_NEU;Mittelwert_UNT;Mittelwert_ER
v001;30-44;m;Ang;M;Le;3;2,2;2,6;2,4;2,6;2,2;4,7;2;3,6
v002;18-29;w;Stu;A;Le;2;3,2;1,3;3,3;2,4;2,1;5,7;6,3;5,9
v003;18-29;w;Sch;M;and;2,3;3,4;2,6;3,1;2,8;2,2;5,3;5;5,2
v004;30-44;m;Ang;H;Le;2,3;2,8;1,9;2,3;2,3;2,6;2,2;2,8;2,4
v005;18-29;w;Ang;M;Le;2,2;2,2;2,1;1,9;2,1;2,2;3,8;4,3;4
v006;18-29;w;Ang;M;Le;1,3;2,2;1,4;1,5;1,6;2,7;6,2;2,8;4,8
v007;30-44;m;Ang;A;BA;1,3;2,2;2,3;1,8;1,8;0,8;4,7;4,8;4,7
v008;18-29;w;Ang;M;Le;1,8;2,4;2,4;2,4;2,2;1,6;5;4,3;4,7
v009;18-29;m;Ang;M;Le;1,6;2,8;2,4;1,5;2;2,4;4,5;2,8;3,8
v010;18-29;w;Ang;A;Le;1,9;2,4;2;1,9;2;2,5;5,3;5,5;5,4
v011;30-44;w;Ang;M;and;1,7;2,4;2,3;1,9;2;2,4;4,8;3,5;4,3
v012;18-29;w;Ang;A;BA;2,1;2,4;2;1,5;2;2,2;3,2;2,8;3
v013;18-29;w;and;A;Le;1,4;2,8;2,9;2,1;2,2;1,5;2,5;3,8;3
v014;18-29;w;and;A;Le;1,4;3;1,9;3;2,2;1,6;5,3;4,8;5,1
v015;45-59;m;selb;A;Le;1;2,2;1,3;1,6;1,4;2,4;5;3,3;4,3
v016;18-29;m;Ang;M;Le;1,9;2,6;1,6;1,1;1,7;2,5;4,2;3,3;3,8
v017;30-44;m;Ang;A;and;1,6;2,2;1,6;1,8;1,7;2,6;5;2;3,8
v018;45-59;m;Ang;A;Dip;1,4;3,2;2,4;2,3;2,2;2,2;4,5;3;3,9
v019;30-44;w;Ang;M;Le;1,2;2;2;1,9;1,7;2,7;5,5;1,8;4
v020;18-29;w;Ang;A;Le;1,8;2,4;3;2,9;2,5;0,6;3;3;3
v021;60+;m;Ang;A;and;1;4;4;3,3;2,9;0,7;2,5;1,3;2
v022;18-29;w;Sch;A;Le;1;2,6;3;3,3;2,4;1,2;1,2;2,3;1,6
v023;60+;m;Ang;an;and;2,2;2,4;2;1,9;2,1;2,2;5,2;4,8;5
v024;18-29;w;Ang;M;Le;1,7;2,4;2,1;3;2,3;2,6;5,5;3;4,5
v025;18-29;w;Ang;A;and;1,2;2;2,4;2,3;1,9;1,7;3,8;3,5;3,7
v026;18-29;w;Ang;A;and;1,6;2,4;1,7;2;1,9;2,1;6;3,3;4,9
v027;45-59;m;and;H;Le;1,8;2,6;1,6;2,4;2;1,7;5,7;5,3;5,5
v028;18-29;w;Ang;M;Le;1,1;2;1,4;1,5;1,4;2,1;5,5;5,3;5,4
v029;18-29;w;and;M;Le;2,6;3,4;3;2,8;2,9;0,6;4,7;4,5;4,6
v030;18-29;w;Stu;an;MA;1,7;1,8;2,1;2;1,9;1,4;2,8;5;3,7
v031;30-44;w;Ang;M;Le;1,1;1,6;1,7;1,8;1,5;2,1;2,8;3;2,9
v032;45-59;m;Ang;M;Le;1,8;2,2;2,4;1,9;2;1,2;4,2;4,3;4,2
v033;45-59;w;Ang;M;and;1,6;2;1,9;2,3;1,9;1,9;4,8;3,5;4,3
v034;18-29;w;Stu;A;BA;1,1;2,8;2,7;2,9;2,3;2;4,7;5,8;5,1
v035;18-29;w;Stu;A;and;1,2;2;2,4;1,9;1,8;1,8;4,8;2,8;4
v036;18-29;w;Ang;M;Le;1,2;2,6;2,3;2,3;2;2;4,7;2,5;3,8
v037;45-59;w;Ang;M;and;1,3;1,8;1,4;1,4;1,4;2,7;5,2;3,5;4,5
v038;60+;w;and;an;Le;1,2;2,8;2,9;2,6;2,3;2,4;6;4,3;5,3
v039;30-44;m;Ang;an;Mei;1,9;2,2;1,3;1,5;1,7;0,5;5,8;4,5;5,3
v040;18-29;w;Ang;M;Le;1,1;2,4;2;1,4;1,6;2,4;4;2,3;3,3
v041;18-29;w;Stu;A;MA;1,7;2,4;1,9;2;1,9;2;4,8;3,3;4,2
v042;18-29;m;Ang;M;Le;1,4;2;2;2,6;2;1;4,2;4,8;4,4
v043;18-29;m;Ang;M;Le;2,7;2,6;2,1;2,4;2,4;2,2;4,8;5;4,9
v044;30-44;w;Ang;A;Dip;1,9;2,4;2,7;2,1;2,2;2,9;2,3;2;2,2
v045;30-44;w;Stu;A;BA;1,8;1,6;2;1,6;1,8;2,4;4,7;3,3;4,1
v046;18-29;w;Stu;an;MA;1,3;2,6;2;2,8;2,1;0,9;4,3;3,5;4
v047;18-29;w;Ang;A;BA;1,1;2,2;2;1,5;1,6;1,9;5,3;4,8;5,1
v048;30-44;m;Ang;A;Dip;1,9;3,2;2,1;2,3;2,3;2,7;5,7;4;5
v049;18-29;w;Ang;M;Le;1,6;2,8;2,4;2,6;2,3;2,2;4,8;3,8;4,4
v050;18-29;m;Ang;A;BA;1,8;3;1,9;1,5;1,9;2,2;5;5;5
v051;18-29;w;Ang;M;Le;1,2;2;2,3;2;1,8;1,9;4;2,8;3,5
v052;30-44;w;Ang;A;MA;1,3;2,2;2;2,4;1,9;2,5;6,3;5;5,8
v053;18-29;w;Ang;M;Le;1,6;2,8;3,1;3;2,6;0,6;5;1,5;3,6
v054;18-29;w;Bea;an;BA;1;2,6;1,9;2,4;1,9;1,5;4,3;3;3,8
v055;30-44;w;Ang;M;Le;1,2;2,4;2,7;1,6;1,9;2,2;5,2;2,5;4,1
v056;18-29;w;Ang;M;Le;1,9;1,8;2,6;2,4;2,2;0,7;3,5;4,5;3,9
v057;30-44;m;Ang;M;Le;2,4;2,6;3,4;1,6;2,5;2,4;1,5;1,5;1,5
v058;18-29;w;Ang;A;MA;1,7;2,6;2,1;2;2;1,6;3,5;5,3;4,2
v059;30-44;w;Ang;H;Le;1,9;2,2;2,6;3;2,4;1,3;4,3;5;4,6
v060;30-44;m;Ang;A;and;1,7;2,4;1,6;2,3;1,9;2,5;4,3;3;3,8
v061;18-29;w;Stu;A;BA;1,1;1,8;1,9;1,6;1,6;1,9;5;4,3;4,7
v062;30-44;w;Ang;A;Le;1,1;2,2;1,9;1,5;1,6;2,3;6,7;2,3;4,9
v063;30-44;w;Ang;M;Le;1,2;1,8;1,4;1,5;1,4;2,2;5;4,5;4,8
v064;30-44;w;Ang;M;Le;1,2;1,6;2,7;2,5;2;4;3,7;3,3;3,5
v065;30-44;w;Ang;H;Le;1,6;2;2;2,4;2;2,3;4,3;2,8;3,7
v066;30-44;m;Ang;A;BA;1,2;2;1,3;1,3;1,4;2,5;3,8;4,3;4
v067;18-29;w;Ang;M;and;1,2;2;1,4;1,3;1,4;2,3;5,5;5;5,3
v068;18-29;w;Ang;M;Le;1;1,8;1,7;1,5;1,4;2,4;3,2;5;3,9
v069;18-29;w;Ang;A;Le;1,6;3;2,4;2,5;2,3;1,4;1,5;3,5;2,3
v070;18-29;w;Stu;A;and;1,2;2,2;2;2,8;2;0,5;4,3;5,8;4,9
v071;30-44;m;Ang;A;and;2,6;2,8;2,7;2;2,5;2,1;5,2;4;4,7
v072;30-44;w;Ang;M;Le;1;1,8;1,4;1,6;1,4;2,6;2,3;2;2,2
v073;45-59;w;Ang;M;Le;1,2;1,6;1,3;1;1,2;2,7;6,2;2,3;4,6
v074;30-44;w;arbsu;A;Le;1,7;2,8;2,9;2;2,2;2;5,3;2,3;4,1
v075;30-44;w;Ang;M;Le;1,1;2,2;2,6;1,9;1,9;2,4;3,8;5;4,3
v076;18-29;w;Ang;A;Le;1,9;2,4;3;2,4;2,4;2,4;4;2,8;3,5
v077;18-29;w;Ang;M;Le;1,4;2,2;2;2;1,9;1,8;4,3;4,3;4,3
v078;30-44;w;Ang;M;Le;1,8;2,2;2,1;2,3;2,1;2,1;6;4;5,2
v079;30-44;m;Ang;A;and;1,7;1,8;2,3;1,9;1,9;2,4;2;4;2,8
v080;18-29;w;Ang;M;Le;1,9;2,4;2,9;3,3;2,6;0,3;3,2;2,3;2,8
v081;18-29;w;Stu;A;BA;1,2;2,6;2,6;3,1;2,3;0,5;2,8;4;3,3
v082;18-29;w;and;M;Le;1,2;2;1,6;2,4;1,8;2,1;4,5;4,5;4,5
v083;18-29;w;Ang;M;Le;1;2;1,6;2,1;1,6;1,6;4,7;3,5;4,2
v084;18-29;w;Ang;A;BA;1,2;1,8;1,7;1,6;1,6;2,4;4,8;3,8;4,4
v085;45-59;w;and;M;Le;1,6;2,4;1,6;2;1,8;1,9;3,8;5;4,3
v086;18-29;w;Ang;A;Le;1,3;2,6;3,1;2,6;2,3;1,6;3,7;1,8;2,9
v087;18-29;w;Ang;A;Le;1,2;2,2;2,3;2,3;1,9;1,6;4,5;3,5;4,1
v088;45-59;w;and;H;and;1,3;1,8;2;2,4;1,9;1,6;4;3,8;3,9
v089;18-29;m;Ang;A;and;2;2,4;1,9;1,9;2;2,7;2,7;2,5;2,6
v090;18-29;m;Stu;A;BA;1,7;2,2;1,6;1,5;1,7;2,4;4;4;4
v091;45-59;m;Ang;M;Le;2,9;3,2;2,7;2,6;2,8;0,5;3,3;3,3;3,3
v092;45-59;w;Ang;A;Dip;1,1;1,6;1,6;1,1;1,3;2,5;5;4,3;4,7
v093;18-29;w;Ang;A;Mei;1;1,8;1,9;2,3;1,7;1,6;4,2;3;3,7
v094;30-44;w;Ang;A;BA;1;2;1,7;1,4;1,4;2,3;5,8;3;4,7
v095;30-44;w;selb;M;Mei;1,2;2,4;1,6;1,3;1,5;2,7;7;2;5
v096;18-29;m;Ang;A;Le;1,9;2,2;2,1;1,4;1,9;2,5;4,3;4;4,2
v097;18-29;w;and;A;Le;1;3,4;2,4;2,5;2,2;2,1;4,3;4,3;4,3
v098;18-29;w;and;A;Le;1,3;2,6;1,9;2,3;1,9;2,7;5,2;2,8;4,2
v099;30-44;w;Ang;A;and;1,6;2,6;2,7;2,5;2,3;2,1;4;5,3;4,5
v100;30-44;m;Ang;M;Le;1,8;2,4;2,4;2,6;2,3;2,2;4,2;4,5;4,3
v101;18-29;m;Stu;A;Le;1,8;2;1,4;1,4;1,6;2,4;4;4,3;4,1
v102;18-29;w;Ang;A;Le;1,3;3;3,3;3,3;2,6;1;2,2;1,5;1,9
v103;18-29;w;Ang;an;BA;1,6;2;1,9;2,5;2;1,5;4,8;4,3;4,6
v104;30-44;m;Ang;H;Le;2,7;2,4;2,1;2;2,3;2,6;5,2;4;4,7
v105;45-59;w;Ang;A;Le;1;1,8;1,9;1,4;1,4;2;5;2,8;4,1
v106;18-29;w;Ang;A;BA;1,2;1,8;1,7;2,1;1,7;2;4,3;2,5;3,6
v107;30-44;m;Ang;M;and;1,7;2,4;2,6;2;2,1;1,5;2,3;2,5;2,4
v108;30-44;w;Ang;A;Mei;1,1;2,4;2;2,3;1,9;1,9;4,5;3,5;4,1
v109;45-59;w;Ang;H;Le;1,3;2,2;1,4;2,8;1,9;1,4;5,5;4;4,9
v110;18-29;m;selb;A;Le;2;2,8;1,6;2,3;2,1;2,6;4;3,8;3,9
v111;18-29;w;Stu;A;BA;1,2;2;2;2,9;2;0,9;4,2;3;3,7
v112;18-29;m;Stu;A;BA;1,6;3;1,9;2,5;2,1;2,4;4;2,5;3,4
v113;18-29;w;Ang;M;Le;1;2,6;2,6;3;2,2;2,3;3,2;1,5;2,5
v114;18-29;m;Stu;A;BA;1,2;2,2;1,6;1;1,4;2,7;6,7;4,8;5,9
v115;18-29;w;Ang;M;Le;3,2;3,2;3;2,6;3;1,9;3,7;4,5;4
v116;18-29;w;Stu;A;BA;1,3;2,6;1,9;2,1;1,9;2,4;3,8;3;3,5
v117;18-29;w;Ang;A;Le;1,8;2,8;3;1,5;2,2;1,7;5,2;2,8;4,2
v118;30-44;w;Ang;M;Le;1,1;2,2;1,9;1,6;1,6;2,3;6,8;3,5;5,5
v119;18-29;m;Ang;an;BA;1,7;2,8;1,7;1,5;1,8;2,4;6,3;2;4,6
v120;18-29;w;Ang;M;and;1,3;3;2,4;2,4;2,2;0,9;5,7;3,5;4,8
v121;30-44;m;Ang;an;Le;2,1;2,6;2,1;2,5;2,3;2;4,3;1,3;3,1
v122;18-29;w;Ang;M;Le;1;2;1,7;2,1;1,7;1,8;5,8;2;4,3
v123;30-44;w;Ang;A;MA;1,3;2,6;2,1;1,5;1,8;2,4;4,2;3,8;4
v124;18-29;m;Ang;A;and;1,8;2,4;2,6;2,3;2,2;1,9;4;4;4
v125;30-44;w;Ang;M;Le;1,4;2,2;1,9;1,9;1,8;1,6;5,3;2,3;4,1
v126;30-44;w;Ang;A;BA;1,3;2,2;1,3;1,4;1,5;2,6;4,8;3;4,1
v127;18-29;w;Ang;A;Le;1,4;2,2;2,9;1,8;2;2,7;2,2;2,5;2,3
v128;18-29;m;Ang;M;Le;1,6;2,2;1,7;1,5;1,7;2,2;4,5;3,3;4
v129;30-44;m;Ang;H;Le;2,2;2;1,9;2,1;2,1;1,3;5,3;3,8;4,7
v130;18-29;w;Ang;A;BA;1,2;2,6;2,3;2,4;2;1,8;5,7;4,8;5,3
v131;30-44;m;Ang;M;Le;1,1;2;1,7;2;1,7;2,5;2,8;2,5;2,7
v132;30-44;m;Stu;A;BA;1;1,4;1,4;2,3;1,5;1,5;5,8;4,8;5,4
v133;30-44;w;Ang;M;Le;1,4;2;2,3;1,5;1,8;2,5;5,3;2,5;4,2
v134;18-29;w;Ang;A;Le;1,3;2;1,7;1,4;1,6;2,7;2,5;3,8;3
v135;30-44;m;Ang;an;MA;2;2,2;1,9;2;2;2,6;3,3;3,8;3,5
v136;45-59;w;Ang;an;Mei;1,7;2,6;2,3;2,3;2,1;2,6;5,2;4,3;4,8
v137;18-29;w;Ang;M;Le;1,4;2,2;2;2,4;2;2,1;5,7;4,3;5,1
v138;30-44;w;Ang;A;Dip;1,4;2,6;2;1,8;1,9;2,6;4;2,8;3,5
v139;18-29;w;Ang;A;and;1,1;2;1,7;2;1,7;2,6;4,2;4;4,1
v140;30-44;w;Ang;M;Le;1;2,4;1,6;1,5;1,5;2,6;5,7;3,8;4,9
