CASE;QUESTNNR;MODE;STARTED;SA04_01;SA04_02;SA04_03;Attraktivität Mittelwert;SS01_01;SS01_02;SS01_03;SS01_04;SS01_05;SS01_06;SS01_07;SS01_08;SS01_09;SS01_10;WIRKALL-K;GA01_01;GA01_02;GA01_03;GA01_04;GA01_05;GA01_06;GWALL Mittelwert;GP01_01;GP01_02;GP01_03;GP01_04;GP01_05;GP01_06;GP01_07;GWPER Mittelwert;AG01;AG02_01;AG06;AG04;AG03;AG05;TIME001;TIME002;TIME003;TIME004;TIME005;TIME_SUM;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME
1;base;interview;31.05.2017 20:21;3;3;3;3;2;3;3;2;2;2;3;3;3;3;26;4;4;3;3;3;4;3,5;3;3;3;3;3;3;3;3;2;32;3;2;4;3;26;27;90;157;42;342;31.05.2017 20:26;1;0;5;5;0;0;0,72;0
2;base;interview;31.05.2017 20:24;4;3;4;3,666666667;3;4;3;3;3;4;4;3;3;3;33;4;3;1;4;5;4;3,5;2;2;2;2;3;2;2;2,142857143;1;34;3;2;6;5;10;22;41;83;33;189;31.05.2017 20:28;1;0;5;5;0;0;1,28;15
3;base;interview;31.05.2017 20:37;2;3;2;2,333333333;3;3;3;3;3;2;2;2;3;2;26;5;4;4;3;3;4;3,833333333;2;2;3;2;2;2;2;2,142857143;2;20;1;1;2;2;30;24;54;103;34;245;31.05.2017 20:41;1;0;5;5;0;0;0,94;4
4;base;interview;31.05.2017 20:45;3;3;2;2,666666667;3;3;2;3;3;2;3;3;3;3;28;5;5;5;2;3;5;4,166666667;5;5;4;5;5;5;4;4,714285714;2;23;2;1;4;3;10;23;49;75;20;177;31.05.2017 20:47;1;0;5;5;0;0;1,36;18
5;base;interview;31.05.2017 20:49;3;3;2;2,666666667;4;3;3;3;4;4;4;3;3;4;35;6;5;5;4;6;6;5,333333333;3;4;4;3;4;2;3;3,285714286;2;22;1;1;4;3;4;29;91;111;36;271;31.05.2017 20:53;1;0;5;5;0;0;1,28;25
6;base;interview;31.05.2017 20:49;5;6;6;5,666666667;3;3;3;3;3;4;4;4;3;3;33;5;5;5;5;4;4;4,666666667;2;2;3;2;2;2;3;2,285714286;2;34;3;3;4;4;17;474;57;119;59;277;31.05.2017 21:01;1;0;5;5;0;0;0,7;2
7;base;interview;31.05.2017 20:57;6;6;6;6;3;3;3;3;3;3;3;3;3;3;30;5;4;5;2;3;3;3,666666667;2;2;2;1;2;2;2;1,857142857;1;24;1;1;8;3;21;51;77;159;25;333;31.05.2017 21:03;1;0;5;5;0;0;0,78;2
8;base;interview;31.05.2017 20:58;2;3;2;2,333333333;3;3;2;2;4;2;4;3;2;3;28;5;2;3;4;5;5;4;2;4;4;3;4;4;3;3,428571429;2;18;1;1;8;1;5;25;55;92;30;207;31.05.2017 21:02;1;0;5;5;0;0;1,44;23
9;base;interview;31.05.2017 21:04;5;4;4;4,333333333;2;3;2;2;3;3;4;3;2;3;27;4;5;1;3;2;4;3,166666667;5;4;4;3;4;4;4;4;1;29;1;1;4;5;8;20;91;82;27;228;31.05.2017 21:08;1;0;5;5;0;0;1,24;14
10;base;interview;31.05.2017 21:07;6;5;6;5,666666667;3;4;3;3;3;2;3;3;3;3;30;5;5;4;4;3;2;3,833333333;2;2;2;3;2;3;2;2,285714286;1;23;1;1;4;3;4189;36;114;211;48;423;31.05.2017 22:24;1;0;5;5;0;0;0,49;0
11;base;interview;31.05.2017 21:36;4;4;3;3,666666667;2;4;2;1;2;1;3;3;2;2;22;6;4;4;4;3;4;4,166666667;2;3;2;2;3;3;3;2,571428571;2;30+;2;1;2;3;15;35;71;109;42;272;31.05.2017 21:40;1;0;5;5;0;0;0,86;0
12;base;interview;31.05.2017 21:50;6;7;7;6,666666667;3;4;3;3;3;3;3;3;4;4;33;5;5;5;6;3;3;4,5;5;4;5;6;6;5;4;5;1;26;1;1;4;3;5;16;34;80;24;159;31.05.2017 21:53;1;0;5;5;0;0;1,79;40
13;base;interview;31.05.2017 21:50;4;4;4;4;3;4;3;2;3;3;4;2;3;2;29;4;4;4;6;4;4;4,333333333;5;3;4;3;4;3;3;3,571428571;2;25;1;1;4;4;33;42;71;131;24;301;31.05.2017 21:55;1;0;5;5;0;0;0,81;2
14;base;interview;31.05.2017 21:51;4;4;4;4;3;3;3;2;2;2;2;2;2;2;23;4;5;5;5;4;5;4,666666667;4;3;4;3;3;3;3;3,285714286;2;18;2;1;3;1;11;22;71;109;27;240;31.05.2017 21:55;1;0;5;5;0;0;1,09;5
15;base;interview;31.05.2017 22:24;2;3;1;2;2;3;3;3;3;3;4;2;3;3;29;4;4;4;3;4;5;4;3;2;3;3;2;2;2;2,428571429;2;27;2;1;4;3;378;23;135;92;23;287;31.05.2017 22:35;1;0;5;5;0;0;0,82;6
16;base;interview;31.05.2017 22:37;6;6;5;5,666666667;3;3;3;2;3;3;3;3;2;3;28;5;4;5;6;4;4;4,666666667;2;2;3;3;3;2;3;2,571428571;2;29;3;2;8;5;21;34;78;145;43;321;31.05.2017 22:42;1;0;5;5;0;0;0,74;0
17;base;interview;31.05.2017 22:37;5;5;6;5,333333333;4;4;3;2;3;4;3;3;2;2;30;4;3;4;2;3;4;3,333333333;2;2;2;2;2;2;1;1,857142857;1;23;1;1;3;2;132;18;109;243;27;280;31.05.2017 22:46;1;0;5;5;0;0;0,73;5
18;base;interview;31.05.2017 23:57;6;6;6;6;2;3;3;3;4;3;4;3;3;3;31;5;4;5;2;3;3;3,666666667;1;3;3;2;2;1;2;2;2;25;2;1;4;4;20;30;74;118;40;282;01.06.2017 00:02;1;0;5;5;0;0;0,82;0
19;base;interview;01.06.2017 00:29;4;5;4;4,333333333;2;4;3;3;3;4;4;3;3;3;32;5;5;4;5;6;5;5;3;3;3;3;4;4;3;3,285714286;1;30;1;1;3;2;26;34;114;213;36;322;01.06.2017 00:36;1;0;5;5;0;0;0,64;0
20;base;interview;01.06.2017 07:09;6;6;6;6;3;3;3;3;3;3;3;3;3;3;30;4;4;4;6;4;4;4,333333333;3;2;2;2;2;2;2;2,142857143;2;52;4;2;4;4;27;36;86;147;35;331;01.06.2017 07:14;1;0;5;5;0;0;0,72;0
